,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,Í–ËŸ⁄ ‚‹ŸŸ‘,“Ÿ‹,ﬁ”Ÿ‡Í ﬁÁ’Ë,‚ŸË ﬁ“’ËŸ› —ŸÈË–‹,ﬁÁÊ’‚,È‡Í ‚‹ŸŸ‘,ﬁ“”Ë,ﬁÊ— ﬁÈ‰◊ÍŸ,·ÿÿ’· ‚‹ŸŸ‘,Í–ËŸ⁄ Ë–Ÿ’ﬂ ‚‹ŸŸ‘,ﬁ·' ÿŸ·Í ‚‹ŸŸ‘,
,6/7/2023,24,England,Tel Aviv-Yafo,Non Profit - Resource Development,2023,Female,Single,Oleh,4/10/2023,LY02,
,6/7/2023,73,Georgia,Yad Binyamin,Retirement,2023,Female,Married,Oleh,5/12/2022,LY02,
,6/7/2023,57,Florida,Tel Aviv-Yafo,Lawyer,2023,Male,Married,Oleh,4/18/2022,LY02,
,6/7/2023,55,Florida,Tel Aviv-Yafo,Non Profit,2023,Female,Married,Oleh,4/18/2022,LY02,
,6/7/2023,47,NJ,Tel Aviv-Yafo,Law,2023,Male,Married,Oleh,2/9/2023,LY02,
,6/7/2023,50,NJ,Tel Aviv-Yafo,Fundraising,2023,Female,Married,Oleh,2/9/2023,LY02,
,6/8/2023,22,,Beit Shemesh,Student,2023,Female,Single,,,,
,6/12/2023,64,Quebec,Kiryat Bialik,Engineer - Computer,2023,Female,Married,Oleh,2/16/2023,AC82,
,6/13/2023,47,California,Kiryat Motzkin,Childcare,2023,Female,Single,,,,
,6/13/2023,19,New York,Safed,Business,2023,Female,Single,,,,
,6/13/2023,37,,Giv'at Ze'ev,Therapy/Counseling,2023,Male,Married,,,,
,6/14/2023,35,New York,Petah Tikva,Curator,2023,Female,Engaged,,,,
,6/14/2023,1,Nevada,Beit Shemesh,,2023,Female,Child,,3/23/2023,LY06,
,6/14/2023,36,Nevada,Beit Shemesh,Data Scientist,2023,Female,Married,Oleh,3/23/2023,LY06,
,6/14/2023,22,Connecticut,Kiryat Motzkin,Student,2023,Female,Engaged,Ezrach Oleh,4/25/2023,LY08,
,6/14/2023,20,,Ra'anana,,2023,Male,Single,,,,
,6/14/2023,31,Nevada,Tel Aviv-Yafo,Editor/Proofreader,2023,Female,Single,,,,
,6/14/2023,18,New Jersey,Jerusalem,Student,2023,Female,Single,,5/4/2023,,
,6/14/2023,23,,Haifa,,2023,Female,Single,,,,
,6/14/2023,23,,Tel Aviv-Yafo,,2023,Male,Single,,,,
,6/14/2023,25,New York,Giv'at Ze'ev,Writer,2023,Female,Single,,,,
,6/14/2023,42,,Jerusalem,Research,2023,Female,Married,,,,
,6/14/2023,7,,Jerusalem,,2023,Female,Child,,,,
,6/14/2023,4,,Jerusalem,,2023,Male,Child,,,,
,6/14/2023,3,,Jerusalem,,2023,Male,Child,,,,
,6/14/2023,36,Illinois,Hatsor Ashdod,Pharmacist,2023,Female,Married,Oleh,3/14/2023,LY08,
,6/14/2023,7,Illinois,Hatsor Ashdod,,2023,Female,Child,Ezrah Yelid Hul (katin/minor),3/14/2023,LY08,
,6/14/2023,4,Illinois,Hatsor Ashdod,,2023,Male,Child,Ezrah Yelid Hul (katin/minor),3/14/2023,LY08,
,6/14/2023,21,California,Herzliya,,2023,Female,Single,,,,
,6/14/2023,61,New York,Haifa,Design,2023,Female,Single,Oleh,10/25/2022,LY08,
,6/14/2023,68,California,Harish,,2023,Female,Divorced,,,,
,6/14/2023,25,Nevada,Haifa,Education - Early Childhood,2023,Male,Single,Oleh,3/30/2023,LY18,
,6/14/2023,22,Nevada,Haifa,Education - Early Childhood,2023,Female,Single,Oleh,3/30/2023,LY18,
,6/14/2023,25,,Tel Aviv-Yafo,Real Estate,2023,Female,Single,,,,
,6/14/2023,88,New York,Jerusalem,Engineer - Electrical,2023,Male,Divorced,,,,
,6/14/2023,87,Florida,Ma'alot Tarshiha,Program Manager,2023,Female,Widowed,Oleh,4/5/2023,LY18,
,6/14/2023,85,Ontario,Jerusalem,Retirement,2023,Male,Separated,,,,
,6/14/2023,19,,Jerusalem,Unemployed,2023,Female,Single,,,,
,6/14/2023,24,,Tel Aviv-Yafo,,2023,Female,Single,,,,
,6/14/2023,23,Washington,Tel Aviv-Yafo,Student,2023,Male,Single,,,,
,6/14/2023,72,,Jerusalem,Retirement,2023,Female,Divorced,,,,
,6/14/2023,33,Massachusetts,Tel Aviv-Yafo,Product Manager,2023,Male,Single,,,,
,6/14/2023,18,New York,Ein Tzurim,,2023,Female,Single,,,,
,6/14/2023,58,,Jerusalem,,2023,Male,Married,,,,
,6/14/2023,53,,Jerusalem,,2023,Female,Married,,,,
,6/14/2023,18,,Jerusalem,,2023,Female,Child,,,,
,6/14/2023,16,,Jerusalem,,2023,Female,Child,,,,
,6/14/2023,13,,Jerusalem,,2023,Male,Child,,,,
,6/14/2023,11,,Jerusalem,,2023,Female,Child,,,,
,6/14/2023,8,,Jerusalem,,2023,Male,Child,,,,
,6/14/2023,30,,Tel Aviv-Yafo,,2023,Female,Single,,,,
,6/14/2023,35,,Jerusalem,Student,2023,Male,Married,,,,
,6/14/2023,20,,Giv'at Shmuel,Student,2023,Female,Single,,,,
,6/15/2023,20,Nevada,€‰Ë ﬁ·ËŸÁ,Student,2023,Female,Single,,,,
,6/20/2023,70,Texas,Jerusalem,Interior Design,2023,Female,Divorced,Oleh,3/16/2023,LY28,
,6/20/2023,34,NJ,Bet Shemesh,Homemaker,2023,Female,Married,Ezrach Oleh,2/14/2023,LY28,
,6/20/2023,5,NJ,Bet Shemesh,,2023,Male,Child,Oleh,2/14/2023,LY28,
,6/20/2023,37,NJ,Bet Shemesh,Nurse,2023,Male,Married,Ezrach Oleh,2/14/2023,LY28,
,6/20/2023,14,NJ,Bet Shemesh,,2023,Male,Child,Oleh,2/14/2023,LY28,
,6/20/2023,9,NJ,Bet Shemesh,,2023,Male,Child,Oleh,2/14/2023,LY28,
,6/20/2023,66,Maryland,Kiryat Ye'arim,Martial Arts,2023,Male,Married,Oleh Miyom Shuvo,12/8/2022,LY28,
,6/20/2023,63,Maryland,Kiryat Ye'arim,Education Administration,2023,Female,Married,Oleh Miyom Shuvo,12/8/2022,LY28,
,6/20/2023,61,Maryland,Ramat Beit Shemesh,Physician,2023,Female,Married,Oleh,3/23/2023,LY28,
,6/20/2023,59,Maryland,Ramat Beit Shemesh,Retirement,2023,Male,Married,Oleh,3/23/2023,LY28,
,6/20/2023,71,Louisiana,Ramat Gan,Business Developer,2023,Female,Married,Oleh,11/18/2021,LY28,
,6/20/2023,70,Louisiana,Ramat Gan,Self Employed/Small Business,2023,Male,Married,Oleh,11/18/2021,LY28,
,6/20/2023,39,New York,Tel Aviv-Yafo,Investor Relations,2023,Female,Single,Oleh,3/17/2023,LY28,
,6/20/2023,30,New York,Tel Aviv,SEO,2023,Female,Single,Oleh,4/10/2023,LY28,
,6/20/2023,60,New York,Jerusalem,Education Other,2023,Female,Married,Oleh,1/26/2023,LY28,
,6/20/2023,62,New York,Jerusalem,Accountant,2023,Male,Married,Oleh,1/26/2023,LY28,
,6/20/2023,63,Florida,Jerusalem,Data Analyst,2023,Male,Divorced,Oleh,2/17/2023,LY28,
,6/20/2023,23,New York,Haifa,Education - Elementary,2023,Female,Married,Oleh,3/10/2023,LY28,
,6/20/2023,84,Maryland,Jerusalem,Education - Elementary,2023,Female,Widowed,Oleh,7/28/2022,LY28,
,6/20/2023,26,Montana,Mishmar David,Agriculture,2023,Female,Single,Oleh,3/28/2023,LY28,
,6/20/2023,71,Illinois,Rishon LeZion,Retirement,2023,Female,Divorced,Toshav Chozer with Visa Oleh Bashenit,2/16/2023,LY28,
,6/20/2023,37,Ontario,Haifa,Physician,2023,Male,Single,Oleh,6/11/2018,LY28,
,6/20/2023,42,Illinois,Kiryat Gat,Actuary,2023,Female,Married,Oleh,12/21/2022,LY28,
,6/20/2023,42,Illinois,Kiryat Gat,IT,2023,Male,Married,Oleh,12/21/2022,LY28,
,6/20/2023,16,Illinois,Kiryat Gat,,2023,Female,Child,Oleh,12/21/2022,LY28,
,6/20/2023,12,Illinois,Kiryat Gat,,2023,Female,Child,Oleh,12/21/2022,LY28,
,6/20/2023,32,Maryland,Rishon LeTsiyon,,2023,Female,Widowed,Oleh,3/13/2023,LY28,
,6/20/2023,5,Maryland,Rishon LeTsiyon,,2023,Female,Child,Oleh,3/13/2023,LY28,
,6/20/2023,2,Maryland,Rishon LeTsiyon,,2023,Female,Child,Oleh,3/13/2023,LY28,
,6/20/2023,21,New Jersey,Ra'anana,Student,2023,Female,Single,Ezrach Oleh,4/4/2023,LY28,
,6/20/2023,83,Texas,Jerusalem,Retirement,2023,Female,Widowed,Oleh,3/16/2023,LY28,
,6/20/2023,20,New York,Giv'at Ze'ev,Student,2023,Female,Single,Oleh,2/2/2023,LY28,
,6/20/2023,80,Nevada,Jerusalem,Rabbinate,2023,Male,Married,Oleh,2/23/2023,LY28,
,6/20/2023,26,Maryland,Tel Aviv,Non Profit,2023,Male,Single,Ezrach Oleh,3/30/2023,LY28,
,6/20/2023,30,Massachusetts,Tel Aviv-Yafo,Design,2023,Female,Single,Oleh,2/9/2023,LY28,
,6/20/2023,22,Illinois,Ramat Yohanan,Student,2023,Male,Single,Ezrach Oleh,3/19/2023,LY28,
,6/20/2023,17,New York,Ein Tzurim,Student,2023,Female,Single,Ezrach Oleh,5/14/2023,LY28,
,6/20/2023,62,Massachusetts,Jerusalem,Lawyer,2023,Male,Married,Oleh,4/25/2023,LY28,
,6/20/2023,64,Massachusetts,Jerusalem,Compliance,2023,Female,Married,Oleh,4/25/2023,LY28,
,6/21/2023,25,,Jerusalem,Education - Jewish,2023,Female,Married,,,,
,6/21/2023,21,Pennsylvania,Jerusalem,Army,2023,Male,Single,,,,
,6/21/2023,78,New York,Jerusalem,Computer Technician,2023,Male,Married,,,,
,6/21/2023,18,,Jerusalem,,2023,Female,Single,,,,
,6/21/2023,18,Illinois,Neve Daniel,Student,2023,Female,Single,,,,
,6/21/2023,22,Michigan,Jerusalem,Education - Jewish,2023,Female,Single,,,,
,6/21/2023,21,New York,Bet Shemesh,Bookkeeper,2023,Male,Engaged,,5/4/2023,,
,6/21/2023,27,,Jerusalem,,2023,Male,Married,,,,
,6/21/2023,4,,Jerusalem,,2023,Male,Child,,,,
,6/21/2023,1,,Jerusalem,,2023,Male,Child,,,,
,6/21/2023,32,,Modi'in Ilit,,2023,Female,Single,,,,
,6/21/2023,31,,Haifa,,2023,Male,Married,,,,
,6/21/2023,30,,Haifa,,2023,Female,Married,,,,
,6/21/2023,1,,Haifa,,2023,Female,Child,,,,
,6/21/2023,26,Maryland,Jerusalem,,2023,Male,Married,,,,
,6/21/2023,24,Maryland,Jerusalem,,2023,Female,Married,,,,
,6/21/2023,33,,Jerusalem,,2023,Male,Single,,,,
,6/22/2023,30,New York,Tel Aviv-Yafo,Social Work,2023,Female,Married,Oleh,2/2/2023,DL234,
,6/22/2023,78,Florida,Haifa,Retirement,2023,Male,Divorced,Toshav Chozer with Visa Oleh Bashenit,10/12/2022,LY18,
,6/22/2023,21,Manitoba,Ashdod,Student,2023,Female,Single,Katin Chozer,4/25/2023,AC80,
,6/22/2023,18,New Jersey,Ra'anana,Student,2023,Female,Single,,,,
,6/23/2023,53,Ontario,Sde Eliyahu,Physician,2023,Male,Divorced,Oleh,5/30/2023,AC80,
,6/23/2023,18,,Rishon LeTsiyon,,2023,Female,Single,,,,
,6/25/2023,25,New Jersey,Jerusalem,Student,2023,Male,Single,,,,
,6/26/2023,28,,Tel Aviv-Yafo,,2023,Female,Single,,,,
,6/27/2023,13,California,Ra'anana,,2023,Female,Child,Oleh,5/24/2023,LY06,
,6/27/2023,46,California,Ra'anana,Finance - Advisor,2023,Female,Married,Oleh,5/24/2023,LY06,
,6/28/2023,67,Massachusetts,Tel Aviv-Yafo,Physician,2023,Male,Single,,,,
,6/28/2023,22,Pennsylvania,Jerusalem,,2023,Male,Single,,,,
,6/28/2023,33,,Jerusalem,Unemployed,2023,Male,Single,,,,
,6/28/2023,0,,jerusalem,,2023,Female,Child,,,,
,6/28/2023,28,,jerusalem,Student,2023,Male,Married,,,,
,6/28/2023,53,Colorado,Jerusalem,Professor,2023,Male,Single,,,,
,6/28/2023,25,Oregon,Tel Aviv-Jaffa,Student,2023,Male,Single,Ezrach Oleh,4/25/2023,LY06,
,6/28/2023,20,New York,Efrat,Student,2023,Male,Single,,,,
,6/28/2023,24,New York,Tel Aviv-Yafo,Student,2023,Female,Single,,,,
,6/28/2023,84,Colorado,Ra'anana,Engineer - Aerospace,2023,Male,Married,Oleh,2/16/2023,LY06,
,6/28/2023,80,Colorado,Ra'anana,Education - Elementary,2023,Female,Married,Oleh,2/16/2023,LY06,
,6/28/2023,34,NJ,Bet Shemesh,Finance - Advisor,2023,Male,Married,,,,
,6/28/2023,40,California,Tel Aviv-Yafo,Marketing Communications,2023,Male,Married,,,,
,6/28/2023,8,California,Tel Aviv-Yafo,,2023,Female,Child,,,,
,6/28/2023,2,California,Tel Aviv-Yafo,,2023,Female,Child,,,,
,6/28/2023,23,Maryland,Tel Aviv-Yafo,Unemployed,2023,Female,Single,,,,
,6/28/2023,23,,Tel Aviv-Yafo,,2023,Male,Single,,,,
,6/28/2023,36,New York,Jerusalem,Student,2023,Female,Married,,,,
,6/28/2023,20,,beitar,,2023,Female,Married,,,,
,6/28/2023,18,California,Tsor'a,Martial Arts,2023,Male,Single,Katin Chozer,3/11/2023,LY06,
,6/28/2023,27,,Shavei Shomron,,2023,Male,Single,,,,
,6/28/2023,19,Florida,Jerusalem,Student,2023,Female,Single,,,,
,6/28/2023,20,,Jerusalem,Education - Special,2023,Female,Married,,,,
,6/28/2023,25,,Bet Shemesh,,2023,Male,Married,,,,
,6/28/2023,28,California,Modi'in-Maccabim-Re'ut,Rabbinate,2023,Male,Single,Katin Chozer,3/21/2023,LY06,
,6/28/2023,18,New Jersey,Ora,Student,2023,Female,Adult Child,,,,
,6/28/2023,23,New Jersey,Jerusalem,,2023,Female,Married,,,,
,6/28/2023,33,,Modi'in Ilit,Student,2023,Male,Married,,,,
,6/28/2023,18,California,Tsor'a,Student,2023,Female,Single,Ezrach Oleh,3/18/2023,LY06,
,6/28/2023,60,New York,Afula,,2023,Female,Married,,,,
,6/28/2023,37,,Holon,Business Developer,2023,Male,Single,,,,
,6/28/2023,36,Florida,Tel Aviv-Yafo,Self Employed/Small Business,2023,Male,Single,,,,
,6/28/2023,26,,Tel Aviv-Yafo,,2023,Male,Single,,,,
,6/28/2023,18,Utah,Jerusalem,Student,2023,Male,Single,Oleh,5/10/2023,LY06,
,6/28/2023,23,Michigan,Bat Yam,Student,2023,Male,Single,Oleh,5/23/2023,DL16/DL5953,
,6/28/2023,24,,Betar Illit,Unemployed,2023,Male,Married,,,,
,6/28/2023,20,,Jerusalem,Education - High School,2023,Female,Engaged,,,,
,6/28/2023,42,,Bnei Brak,Student,2023,Male,Married,,,,
,6/28/2023,22,New York,Bet Shemesh,Academia,2023,Female,Married,,,,
,6/29/2023,59,California,Jerusalem,Professor,2023,Female,Married,Oleh,1/23/2023,UA477/UA954,
,6/30/2023,19,Maryland,Tel Aviv-Yafo,Unemployed,2023,Female,Single,,,,
,7/3/2023,24,Quebec,Jerusalem,Student,2023,Male,Single,Oleh,1/9/2023,AC82,
,7/3/2023,24,,Tel Aviv-Yafo,,2023,Male,Single,,,,
,7/4/2023,34,New York,Tel Aviv,Education - Early Childhood,2023,Female,Single,Oleh,2/14/2023,LY04,
,7/4/2023,0,,Beit Shemesh,,2023,Female,Child,Oleh,5/18/2023,LY04,
,7/4/2023,31,,Beit Shemesh,Business Developer,2023,Female,Married,Ezrach Oleh,5/18/2023,LY04,
,7/4/2023,32,,Beit Shemesh,Business,2023,Male,Married,Ezrach Oleh,5/18/2023,LY04,
,7/4/2023,5,,Beit Shemesh,,2023,Male,Child,Oleh,5/18/2023,LY04,
,7/4/2023,16,New York,Avnei Chefetz,,2023,Female,Child,,,,
,7/4/2023,14,New York,Avnei Chefetz,,2023,Male,Child,,,,
,7/4/2023,12,New York,Avnei Chefetz,,2023,Male,Child,,,,
,7/4/2023,11,New York,Avnei Chefetz,,2023,Female,Child,,,,
,7/4/2023,9,New York,Avnei Chefetz,,2023,Female,Child,,,,
,7/4/2023,7,New York,Avnei Chefetz,,2023,Female,Child,,,,
,7/4/2023,19,Nevada,Rekhasim,,2023,Male,Single,,,,
,7/4/2023,59,Hawaii,Herzliya,Academia,2023,Female,Married,Oleh,4/18/2023,LY04,
,7/4/2023,18,Ontario,Ra'anana,Student,2023,Female,Single,Ezrach Oleh,6/1/2023,AC80,
,7/4/2023,19,Nevada,Kiryat Bialik,Other,2023,Male,Single,,,,
,7/4/2023,22,New Jersey,Jerusalem,Student,2023,Female,Single,Ezrach Oleh,1/10/2023,LY04,
,7/4/2023,57,New York,Be'er Sheva,Education - Math,2023,Female,Widowed,,,,
,7/4/2023,18,New Jersey,Jerusalem,Student,2023,Male,Single,,,,
,7/5/2023,30,California,Tel Aviv-Yafo,Artist,2023,Female,Divorced,Temporary Resident,2/28/2022,,
,7/5/2023,33,,Jerusalem,Other,2023,Male,Single,,,,
,7/5/2023,44,,Jerusalem,Lawyer,2023,Male,Married,,,,
,7/5/2023,30,,Tel Aviv-Yafo,Lawyer,2023,Female,Single,Temporary Resident,7/11/2022,,
,7/5/2023,25,Georgia,Tel Aviv-Yafo,Brand Marketing Manager,2023,Female,Single,Ezrach Oleh,4/18/2023,,
,7/5/2023,39,South Dakota,Yavne,Business,2023,Female,Married,,,,
,7/5/2023,26,California,Beit Dagan,Student,2023,Male,Single,,,,
,7/5/2023,20,New Jersey,Jerusalem,Student,2023,Female,Single,,,,
,7/5/2023,22,Maryland,Giv'at Shmuel,Student,2023,Female,Single,Oleh,5/31/2023,LY16,
,7/5/2023,29,Florida,Tel Aviv-Yafo,Business Analyst,2023,Female,Single,,,,
,7/5/2023,24,New York,Tel Aviv-Yafo,Software Engineer,2023,Female,Single,Oleh,4/3/2023,LY16,
,7/5/2023,33,Quebec,Nitzanei Oz,Business,2023,Male,Divorced,,,,
,7/5/2023,28,,Tel Aviv-Jaffa,,2023,Male,Single,,,,
,7/5/2023,44,New York,Tel Aviv-Yafo,Chef/Cook,2023,Male,Single,,5/1/2023,,
,7/5/2023,66,,—ŸÍË ‚Ÿ‹ŸÍ,Student,2023,Male,Married,,,,
,7/5/2023,41,Ontario,Yokne'am Illit,Cosmetician,2023,Female,Divorced,,,,
,7/5/2023,26,,Tel Aviv-Yafo,,2023,Male,Single,,,,
,7/5/2023,75,Connecticut,Herzliya,Dentist,2023,Female,Married,,3/22/2023,,
,7/5/2023,76,Connecticut,Herzliya,Dentist,2023,Male,Married,,3/22/2023,,
,7/5/2023,21,Florida,Haifa,,2023,Male,Engaged,,,,
,7/5/2023,33,,Tel Aviv-Yafo,,2023,Male,Single,,,,
,7/5/2023,30,California,Midreshet Ben-Gurion,Biologist,2023,Female,Single,,,,
,7/6/2023,60,Maryland,Jerusalem,Retirement,2023,Female,Married,Oleh,,LY18,
,7/6/2023,26,,Jerusalem,,2023,Male,Single,,,,
,7/9/2023,50,Michigan,Ashkelon,,2023,Female,Married,,,,
,7/9/2023,22,California,Tel Aviv-Yafo,Unemployed,2023,Female,Single,,,,
,7/9/2023,17,Texas,Ramat Hasharon,Athlete,2023,Male,Single,Ezrach Oleh,6/13/2023,JBU694/AA146,
,7/10/2023,23,California,Tel Aviv-Yafo,Student,2023,Male,Single,Oleh,1/4/2023,LY06,
,7/10/2023,35,Michigan,Ra'anana,Physician,2023,Male,Married,Katin Chozer,1/23/2023,LY28,
,7/10/2023,7,Michigan,Ra'anana,,2023,Male,Child,Ezrah Yelid Hul (katin/minor),1/23/2023,LY28,
,7/10/2023,6,Michigan,Ra'anana,,2023,Male,Child,Ezrah Yelid Hul (katin/minor),1/23/2023,LY28,
,7/10/2023,3,Michigan,Ra'anana,,2023,Male,Child,Ezrah Yelid Hul (katin/minor),1/23/2023,LY28,
,7/10/2023,1,Michigan,Ra'anana,,2023,Male,Child,Ezrah Yelid Hul (katin/minor),1/23/2023,LY28,
,7/10/2023,25,Ontario,Haifa,Education - Elementary,2023,Female,Single,Katin Chozer,4/28/2023,LY28,
,7/10/2023,25,,Tel Aviv-Yafo,IT,2023,Male,Single,Oleh,3/22/2023,LY06,
,7/10/2023,38,California,Jerusalem,Jewish Education,2023,Female,Married,Oleh,5/31/2023,LY06,
,7/10/2023,41,California,Jerusalem,Musician,2023,Male,Married,Oleh,5/31/2023,LY06,
,7/10/2023,5,California,Jerusalem,,2023,Male,Child,Oleh,5/31/2023,LY06,
,7/10/2023,2,California,Jerusalem,,2023,Female,Child,Oleh,5/31/2023,LY06,
,7/10/2023,18,California,Tsor'a,Student,2023,Female,Single,Ezrach Oleh,3/28/2023,LY06,
,7/11/2023,50,Minnesota,Jerusalem,Academia,2023,Female,Married,,,,
,7/11/2023,50,Minnesota,Jerusalem,Engineer - Mechanical,2023,Male,Married,,,,
,7/11/2023,8,Minnesota,Jerusalem,,2023,Female,Child,,,,
,7/11/2023,20,Minnesota,Jerusalem,,2023,Female,Child,,,,
,7/11/2023,13,Minnesota,Jerusalem,,2023,Female,Child,,,,
,7/11/2023,20,New York,Jerusalem,Student,2023,Female,Single,Ezrach Oleh,11/30/2022,LY02,
,7/11/2023,25,Florida,Tel Aviv-Yafo,Non Profit,2023,Female,Single,,,,
,7/12/2023,24,New York,Herzliya,Student,2023,Female,Single,,,,
,7/12/2023,21,,Herzliya,Student,2023,Female,Single,,,,
,7/12/2023,24,Maryland,Tel Aviv-Yafo,Unemployed,2023,Male,Single,,,,
,7/12/2023,28,New York,Jerusalem,Marketing,2023,Female,Married,,,,
,7/12/2023,30,New York,Jerusalem,Physician,2023,Male,Married,,,,
,7/12/2023,6,New York,Jerusalem,,2023,Male,Child,,,,
,7/12/2023,4,New York,Jerusalem,,2023,Female,Child,,,,
,7/12/2023,1,New York,Jerusalem,,2023,Female,Child,,,,
,7/12/2023,22,Ontario,Jerusalem,Student,2023,Female,Single,,,,
,7/12/2023,25,California,Tel Aviv-Yafo,,2023,Female,Single,,,,
,7/12/2023,24,Washington,Tel Aviv-Yafo,Software Engineer,2023,Male,Single,,,,
,7/13/2023,67,New York,Ra'anana,Education Administration,2023,Male,Married,Oleh,5/2/2023,LY02,
,7/13/2023,58,New York,Ra'anana,Education Administration,2023,Female,Married,Oleh,5/2/2023,LY02,
,7/13/2023,65,New York,Netanya,Physician,2023,Male,Married,Oleh,4/17/2023,LY02,
,7/13/2023,67,New York,Netanya,Lawyer,2023,Female,Married,Oleh,4/17/2023,LY02,
,7/13/2023,71,Pennsylvania,Tel Aviv,Physician,2023,Male,Married,Oleh,3/19/2023,LY02,
,7/13/2023,65,New York,Safed,Rabbinate,2023,Male,Married,Oleh,5/3/2023,LY02,
,7/13/2023,59,New York,Safed,Music Teacher,2023,Female,Married,Oleh,5/3/2023,LY02,
,7/13/2023,57,FL,Netanya,Real Estate,2023,Male,Married,Oleh,11/22/2021,LY02,
,7/13/2023,54,FL,Netanya,Real Estate Manager,2023,Female,Married,Oleh,11/22/2021,LY02,
,7/13/2023,65,New Jersey,Jerusalem,Accountant,2023,Male,Married,Oleh,3/8/2023,LY02,
,7/13/2023,67,New Jersey,Jerusalem,Academia,2023,Female,Married,Oleh,3/8/2023,LY02,
,7/13/2023,1,New York,Jerusalem,,2023,Female,Child,Oleh,4/18/2023,LY02,
,7/13/2023,30,New York,Jerusalem,Student,2023,Male,Married,Oleh,4/18/2023,LY02,
,7/13/2023,31,New York,Jerusalem,Education - Early Childhood,2023,Female,Married,Oleh,4/18/2023,LY02,
,7/13/2023,9,New York,Jerusalem,,2023,Female,Child,Oleh,4/18/2023,LY02,
,7/13/2023,8,New York,Jerusalem,,2023,Female,Child,Oleh,4/18/2023,LY02,
,7/13/2023,5,New York,Jerusalem,,2023,Male,Child,Oleh,4/18/2023,LY02,
,7/13/2023,3,New York,Jerusalem,,2023,Male,Child,Oleh,4/18/2023,LY02,
,7/13/2023,21,Florida,Petach Tikvah,Student,2023,Female,Married,Oleh,2/28/2023,LY02,
,7/13/2023,62,NY,Jerusalem,Psychologist,2023,Female,Married,Oleh,2/21/2022,LY02,
,7/13/2023,68,NY,Jerusalem,Physician,2023,Male,Married,Oleh,2/21/2022,LY02,
,7/13/2023,70,New York,Jerusalem,Social Work,2023,Female,Married,Oleh,1/26/2023,LY02,
,7/13/2023,73,New York,Jerusalem,Finance - Advisor,2023,Male,Married,Oleh,1/26/2023,LY02,
,7/13/2023,4,Florida,Atlit,,2023,Male,Child,Israeli Citizen,7/11/2022,LY18,
,7/13/2023,39,Florida,Atlit,Self Employed/Small Business,2023,Male,Married,Oleh,7/11/2022,LY18,
,7/13/2023,1,Florida,Atlit,,2023,Male,Child,Ezrah Yelid Hul (katin/minor),7/11/2022,LY18,
,7/13/2023,0,New Jersey,Kiryat Gat,,2023,Male,Child,Oleh,9/16/2022,LY02,
,7/13/2023,29,New Jersey,Kiryat Gat,Sales - Hi Tech,2023,Male,Married,Oleh,9/16/2022,LY02,
,7/13/2023,28,New Jersey,Kiryat Gat,Pharmacist,2023,Female,Married,Oleh,9/16/2022,LY02,
,7/13/2023,2,New Jersey,Kiryat Gat,,2023,Male,Child,Oleh,9/16/2022,LY02,
,7/13/2023,61,New York,Efrat,Retirement,2023,Male,Married,Oleh,1/11/2023,LY02,
,7/13/2023,68,New York,Efrat,Retirement,2023,Female,Married,Oleh,1/11/2023,LY02,
,7/13/2023,79,New York,Jerusalem,Rabbinate,2023,Male,Married,Oleh,5/14/2023,LY02,
,7/13/2023,76,New York,Jerusalem,Office Manager,2023,Female,Married,Oleh,5/14/2023,LY02,
,7/13/2023,46,New York,Jerusalem,Dentist,2023,Female,Single,Oleh,3/2/2023,LY02,
,7/13/2023,77,New York,Jerusalem,Retirement,2023,Male,Single,Oleh,3/20/2023,LY02,
,7/13/2023,27,Texas,Tel Aviv-Yafo,Engineer - General,2023,Male,Single,Oleh,12/22/2022,LY02,
,7/13/2023,43,California,Modi'in-Maccabim-Re'ut,Finance,2023,Male,Married,Oleh,2/22/2023,LY02,
,7/13/2023,38,California,Modi'in-Maccabim-Re'ut,Non Profit,2023,Female,Married,Oleh,2/22/2023,LY02,
,7/13/2023,9,California,Modi'in-Maccabim-Re'ut,,2023,Female,Child,Oleh,2/22/2023,LY02,
,7/13/2023,7,California,Modi'in-Maccabim-Re'ut,,2023,Female,Child,Oleh,2/22/2023,LY02,
,7/13/2023,3,California,Modi'in-Maccabim-Re'ut,,2023,Female,Child,Oleh,2/22/2023,LY02,
,7/13/2023,22,Florida,Be'er Sheva,Student,2023,Female,Single,Ezrach Oleh,4/24/2023,LY02,
,7/13/2023,75,New York,Karnei Shomron,Rabbinate,2023,Male,Married,Oleh,3/21/2023,LY02,
,7/13/2023,73,New York,Karnei Shomron,Homemaker,2023,Female,Married,Oleh,3/21/2023,LY02,
,7/13/2023,29,New York,Efrat,Unemployed,2023,Female,Single,Oleh,1/11/2023,LY02,
,7/13/2023,34,New York,Jerusalem,Construction Management,2023,Male,Married,Ezrach Oleh,3/27/2023,LY02,
,7/13/2023,14,New York,Jerusalem,,2023,Male,Child,Ezrah Yelid Hul (katin/minor),3/27/2023,LY02,
,7/13/2023,13,New York,Jerusalem,,2023,Male,Child,Ezrah Yelid Hul (katin/minor),3/27/2023,LY02,
