,,,Í–ËŸ⁄ ‚‹ŸŸ‘,“Ÿ‹,ﬁ”Ÿ‡Í ﬁÁ’Ë,‚ŸË ﬁ“’ËŸ› —ŸÈË–‹,ﬁÁÊ’‚,ﬁ“”Ë,ﬁÊ— ﬁÈ‰◊ÍŸ,·ÿÿ’· ‚‹ŸŸ‘,Í–ËŸ⁄ Ë–Ÿ’ﬂ ‚‹ŸŸ‘,ﬁ·' ÿŸ·‘,‘ÈÍŸŸ€’Í ”ÍŸÍ,Í’–Ë,
,,,8/22/2023,29,Arkansas,Nes Tziona,Athlete,Male,Single,Oleh,3/2/2023,LY04,Conservative,,
,,,8/22/2023,64,British Columbia,Be'er Sheva,Real Estate - Property Manager,Female,Married,Oleh Miyom Shuvo,2/16/2023,AC82,Modern Orthodox,,
,,,8/22/2023,18,Illinois,Kibbutz Gazit,Student,Male,Single,Oleh,3/12/2023,LY04,Conservative,,
,,,8/22/2023,19,Qu√©be,Kibbutz Gazit,Student,Female,Single,Oleh,3/12/2023,AC82,Modern Orthodox,Other,
,,,8/22/2023,19,Massachusetts,Kibbutz Sasa,Waiter,Male,Single,Ezrach Oleh,6/7/2023,A30285/A30924,Conservative,,
,,,8/22/2023,19,New Jersey,Kibbutz Ein Tzurim,Student,Female,Single,Katin Chozer,7/17/2023,LY04,Modern Orthodox,Other,
,,,8/23/2023,30,New York,Tel Aviv-Yafo,Real Estate,Male,Single,,,,Conservative,,
,,,8/23/2023,71,Ontario,Bnei Dror,Psychologist - Clinical,Female,Widowed,Oleh Miyom Shuvo,12/7/2022,LY28,Reconstructionist,,
,,,8/23/2023,0,New Jersey,Bet Shemesh,,Male,Child,,9/22/2022,,Ultra Orthodox,,
,,,8/23/2023,2,New Jersey,Bet Shemesh,,Female,Child,,9/22/2022,,Ultra Orthodox,,
,,,8/23/2023,32,New Jersey,Bet Shemesh,Student,Male,Married,,9/22/2022,,Ultra Orthodox,Bachelors Degree,
,,,8/23/2023,9,New Jersey,Bet Shemesh,,Female,Child,,9/22/2022,,Ultra Orthodox,,
,,,8/23/2023,8,New Jersey,Bet Shemesh,,Female,Child,,9/22/2022,,Ultra Orthodox,,
,,,8/23/2023,7,New Jersey,Bet Shemesh,,Female,Child,,9/22/2022,,Ultra Orthodox,,
,,,8/23/2023,5,New Jersey,Bet Shemesh,,Male,Child,,9/22/2022,,Ultra Orthodox,,
,,,8/23/2023,35,New Jersey,Bet Shemesh,Bookkeeper,Female,Married,,9/22/2022,,Ultra Orthodox,,
,,,8/23/2023,3,New Jersey,Bet Shemesh,,Male,Child,,9/22/2022,,Ultra Orthodox,,
,,,8/23/2023,3,New Jersey,Bet Shemesh,,Female,Child,,9/22/2022,,Ultra Orthodox,,
,,,8/23/2023,97,New York,Bet Shemesh,Retirement,Female,Widowed,Oleh,1/8/2023,LY28,Modern Orthodox,Diploma/GED,
,,,8/23/2023,69,Pennsylvania,Ma'on,Administration,Male,Married,Oleh,3/3/2023,LY28,Modern Orthodox,Bachelors Degree,
,,,8/23/2023,70,Pennsylvania,Ma'on,Nurse Practitioner,Female,Married,Oleh,3/3/2023,LY28,Modern Orthodox,Bachelors Degree,
,,,8/23/2023,1,Maryland,Bet Shemesh,,Female,Child,Oleh,5/4/2023,LY28,Frum,,
,,,8/23/2023,30,Maryland,Bet Shemesh,Academia,Female,Married,Oleh,5/4/2023,LY28,Frum,Diploma/GED,
,,,8/23/2023,3,Maryland,Bet Shemesh,,Female,Child,Oleh,5/4/2023,LY28,Frum,,
,,,8/23/2023,32,Maryland,Bet Shemesh,Social Work,Male,Married,Oleh,5/4/2023,LY28,Frum,,
,,,8/23/2023,32,Tennessee,Qatsrin,Computer Technician,Male,Single,Oleh,4/28/2022,LY28,Chabad,,
,,,8/23/2023,0,New York,Jerusalem,,Female,Child,Oleh,6/16/2023,LY28,Orthodox,,
,,,8/23/2023,28,New York,Jerusalem,Digital Marketing,Male,Married,Oleh,6/16/2023,LY28,Orthodox,,
,,,8/23/2023,2,New York,Jerusalem,,Male,Child,Oleh,6/16/2023,LY28,Orthodox,,
,,,8/23/2023,26,New York,Jerusalem,Project Manager,Female,Married,Oleh,6/16/2023,LY28,Orthodox,,
,,,8/23/2023,14,New York,Bet Shemesh,,Female,Child,Oleh,5/14/2023,LY28,Orthodox,,
,,,8/23/2023,11,New York,Bet Shemesh,,Female,Child,Oleh,5/14/2023,LY28,Orthodox,,
,,,8/23/2023,43,New York,Bet Shemesh,Other,Female,Married,Oleh,5/14/2023,LY28,Orthodox,,
,,,8/23/2023,7,New York,Bet Shemesh,,Female,Child,Oleh,5/14/2023,LY28,Orthodox,,
,,,8/23/2023,77,New Jersey,Netanya,Education - Early Childhood,Female,Married,Oleh,3/2/2022,LY28,Modern Orthodox,,
,,,8/23/2023,78,New Jersey,Netanya,Computer Network Administrator,Male,Married,Oleh,3/2/2022,LY28,Modern Orthodox,Doctorate Degree,
,,,8/23/2023,24,New York,Tel Aviv-Yafo,Engineer - Environmental,Male,Single,Ezrach Oleh,5/2/2023,LY28,Other,,
,,,8/23/2023,23,California,Herzliya,,Female,Single,,,,Modern Orthodox,,
,,,8/23/2023,60,New Jersey,Modi'in-Maccabim-Re'ut,Medical Lab Worker,Female,Married,Oleh,9/30/2022,LY28,Orthodox,Masters Degree,
,,,8/23/2023,61,New Jersey,Modi'in-Maccabim-Re'ut,Hi Tech General,Male,Married,Oleh,9/30/2022,LY28,Orthodox,,
,,,8/23/2023,71,New Jersey,Jerusalem,Professor,Male,Married,Oleh,5/30/2023,LY28,Modern Orthodox,Masters Degree,
,,,8/23/2023,68,New Jersey,Jerusalem,Therapy/Counseling,Female,Married,Oleh,5/30/2023,LY28,Modern Orthodox,Bachelors Degree,
,,,8/23/2023,65,Maryland,Afula,,Male,Married,Oleh,4/3/2023,LY28,Orthodox,,
,,,8/23/2023,22,Illinois,Tel Aviv-Yafo,Student,Male,Single,Oleh,3/21/2023,LY28,Conservative,,
,,,8/23/2023,47,Illinois,Karnei Shomron,Cybersecurity,Male,Married,Ezrach Oleh,5/16/2023,LY28,Modern Orthodox,Masters Degree,
,,,8/23/2023,48,Illinois,Karnei Shomron,Programmer - Coding,Female,Married,Oleh,5/16/2023,LY28,Modern Orthodox,Masters Degree,
,,,8/23/2023,52,New York,Be'er Sheva,Software Engineer,Male,Married,Oleh,10/4/2022,LY28,Traditional,Bachelors Degree,
,,,8/23/2023,49,Texas,Yavne,Nurse,Female,Married,Oleh,4/27/2023,LY18,Conservative,,
,,,8/23/2023,52,,Haifa,,Male,Single,,,,Traditional,,
,,,8/23/2023,37,NY,Jerusalem,Nurse,Female,Married,Oleh,4/11/2023,LY28,Modern Orthodox,Masters Degree,
,,,8/23/2023,36,NY,Jerusalem,Law,Male,Married,Ezrach Oleh,4/11/2023,LY28,Modern Orthodox,JD,
,,,8/23/2023,12,NY,Jerusalem,,Female,Child,Oleh,4/11/2023,LY28,Modern Orthodox,,
,,,8/23/2023,8,NY,Jerusalem,,Male,Child,Oleh,4/11/2023,LY28,Modern Orthodox,,
,,,8/23/2023,6,NY,Jerusalem,,Female,Child,Oleh,4/11/2023,LY28,Modern Orthodox,,
,,,8/23/2023,6,NY,Jerusalem,,Male,Child,Oleh,4/11/2023,LY28,Modern Orthodox,,
,,,8/23/2023,7,California,Jerusalem,,Female,Child,Oleh,5/18/2023,LY28,Orthodox,,
,,,8/23/2023,60,California,Jerusalem,Therapy/Counseling,Female,Married,Oleh,5/18/2023,LY28,Orthodox,Doctorate Degree,
,,,8/23/2023,0,NJ,Efrat,,Female,Child,Oleh,5/14/2023,LY28,Orthodox,,
,,,8/23/2023,34,NJ,Efrat,Dentist,Female,Married,Oleh,5/14/2023,LY28,Orthodox,Doctorate Degree,
,,,8/23/2023,34,NJ,Efrat,Physician,Male,Married,Ezrach Oleh,5/14/2023,LY28,Orthodox,Doctorate Degree,
,,,8/23/2023,4,NJ,Efrat,,Male,Child,Oleh,5/14/2023,LY28,Orthodox,,
,,,8/23/2023,2,NJ,Efrat,,Female,Child,Oleh,5/14/2023,LY28,Orthodox,,
,,,8/23/2023,23,Texas,Jerusalem,Student,Male,Married,,,,Orthodox,,
,,,8/23/2023,21,Maryland,Afula,Education - English,Male,Single,,5/17/2023,LY28,Frum,Masters Degree,
,,,8/23/2023,33,Maryland,Afula,Education - English,Male,Single,Oleh,5/17/2023,LY28,Frum,Masters Degree,
,,,8/23/2023,61,Maryland,Afula,Education - English,Female,Married,Oleh,5/17/2023,LY28,Frum,Masters Degree,
,,,8/23/2023,62,Maryland,Afula,Therapy/Counseling,Male,Married,Oleh,5/17/2023,LY28,Frum,Bachelors Degree,
,,,8/23/2023,29,Virginia,Bat Yam,Therapy/Counseling,Male,Married,,,,Reform,Bachelors Degree,
,,,8/23/2023,43,Florida,Modi'in-Maccabim-Re'ut,Banking - Other,Male,Married,Katin Chozer,3/20/2023,LY28,Conservative,,
,,,8/23/2023,8,Florida,Modi'in-Maccabim-Re'ut,,Female,Child,Ezrah Yelid Hul (katin/minor),3/20/2023,LY28,Conservative,,
,,,8/23/2023,1,Florida,Modi'in-Maccabim-Re'ut,,Male,Child,Ezrah Yelid Hul (katin/minor),3/20/2023,LY28,Conservative,,
,,,8/23/2023,24,New York,Jerusalem,Student,Male,Divorced,Oleh,5/1/2023,LY28,Modern Orthodox,,
,,,8/23/2023,42,New Jersey,Zikhron Ya'akov,Music Teacher,Female,Married,Oleh,5/14/2023,LY28,Modern Orthodox,Masters Degree,
,,,8/23/2023,9,New Jersey,Zikhron Ya'akov,,Male,Child,Ezrah Yelid Hul (katin/minor),5/14/2023,LY28,Modern Orthodox,,
,,,8/23/2023,7,New Jersey,Zikhron Ya'akov,,Female,Child,Ezrah Yelid Hul (katin/minor),5/14/2023,LY28,Modern Orthodox,,
,,,8/23/2023,42,,Bet Shemesh,,Male,Married,,,,Frum,,
,,,8/23/2023,20,,Jerusalem,,Male,Single,,,,Modern Orthodox,,
,,,8/23/2023,71,New York,Jerusalem,Psychologist - Clinical,Female,Married,Oleh,5/16/2023,LY28,Orthodox,Phd,
,,,8/23/2023,70,New York,Jerusalem,Physician,Male,Married,Oleh,5/16/2023,LY28,Orthodox,Doctorate Degree,
,,,8/23/2023,19,,Jerusalem,,Female,Single,,,,Modern Orthodox,,
,,,8/23/2023,36,,Jerusalem,Student,Male,Married,,,,Ultra Orthodox,,
,,,8/23/2023,19,New Jersey,Ra'anana,Student,Male,Single,,,,Modern Orthodox,,
,,,8/23/2023,18,,Jerusalem,,Female,Single,,,,Chabad,,
,,,8/23/2023,19,,Bet Shemesh,Student,Male,Single,,,,Modern Orthodox,,
,,,8/23/2023,23,,Bat Yam,,Male,Single,,,,Traditional,,
,,,8/23/2023,21,California,Naan,Student,Male,Single,,,,Conservative,,
,,,8/23/2023,27,,Tel Aviv-Yafo,Software Engineer,Male,Single,,,,Modern Orthodox,,
,,,8/23/2023,22,California,Kibbutz Ramat Yochanan,Academia,Male,Single,Oleh,3/30/2023,LY06,Reform,,
,,,8/23/2023,33,Maryland,Bet Shemesh,Occupational Therapist,Female,Married,Oleh,3/27/2023,LY28,Orthodox,Bachelors Degree,
,,,8/23/2023,32,Maryland,Bet Shemesh,Management,Male,Married,Oleh,3/27/2023,LY28,Orthodox,,
,,,8/23/2023,6,Maryland,Bet Shemesh,,Female,Child,Oleh,3/27/2023,LY28,Orthodox,,
,,,8/23/2023,4,Maryland,Bet Shemesh,,Female,Child,Oleh,3/27/2023,LY28,Orthodox,,
,,,8/23/2023,91,Pennsylvania,Tirat Zvi,Retirement,Female,Widowed,Oleh,5/5/2023,UA3515/UA84,Modern Orthodox,,
,,,8/23/2023,18,Florida,Kfar Masaryk,,Female,Single,Oleh,7/25/2023,LY18,Chabad,,
,,,8/23/2023,32,FL,,Education - Early Childhood,Female,Married,,,,Orthodox,,
,,,8/23/2023,24,New Jersey,Jerusalem,Other,Female,Married,,,,Frum,,
,,,8/23/2023,30,,Jerusalem,Student,Male,Married,,,,Yeshivish,,
,,,8/23/2023,28,,Jerusalem,Homemaker,Female,Married,,,,Yeshivish,,
,,,8/23/2023,4,,Jerusalem,,Female,Child,,,,Yeshivish,,
,,,8/23/2023,1,,Jerusalem,,Female,Child,,,,Yeshivish,,
,,,8/23/2023,23,,Tel Aviv-Yafo,,Female,Single,,,,Non-Affiliated,,
,,,8/23/2023,22,California,Tel Aviv-Yafo,Childcare,Female,Single,,,,Traditional,Diploma/GED,
,,,8/23/2023,19,Florida,Modiin,Student,Male,Single,Ezrach Oleh,6/21/2023,LY18,Other,,
,,,8/23/2023,29,New York,Bet Shemesh,,Male,Married,,,,Frum,,
,,,8/23/2023,26,New York,Bet Shemesh,,Female,Married,,,,Frum,,
,,,8/23/2023,6,New York,Bet Shemesh,,Male,Child,,,,Frum,,
,,,8/23/2023,4,New York,Bet Shemesh,,Female,Child,,,,Frum,,
,,,8/23/2023,2,New York,Bet Shemesh,,Male,Child,,,,Frum,,
,,,8/23/2023,32,,Tel Aviv-Yafo,,Female,Engaged,,,,Conservative,,
,,,8/23/2023,18,,Bet Shemesh,,Female,Single,,,,Yeshivish,,
,,,8/23/2023,19,,Jerusalem,Student,Male,Single,,,,Frum,,
,,,8/23/2023,60,New Jersey,Jerusalem,Hi Tech General,Male,Married,,,,Modern Orthodox,,
,,,8/23/2023,59,New Jersey,Jerusalem,Homemaker,Female,Married,,,,Modern Orthodox,,
,,,8/23/2023,75,,Bnei Brak,,Female,Married,,,,Orthodox,,
,,,8/23/2023,23,Texas,Jerusalem,Athlete,Female,Single,,,,Chabad,,
,,,8/23/2023,19,,Bet Shemesh,,Female,Single,,,,Orthodox,,
,,,8/23/2023,18,California,Herzliya,Athlete,Female,Single,,,,Conservative,,
,,,8/23/2023,20,New York,Jerusalem,,Male,Single,,,,Orthodox,,
,,,8/23/2023,18,California,Ra'anana,Unemployed,Female,Single,Ezrach Oleh,8/3/2023,LY06,Masorti,Diploma/GED,
,,,8/23/2023,19,California,Ra'anana,Unemployed,Female,Single,,,,Liberal,,
,,,8/23/2023,34,New York,Herzliya,,Female,Single,,,,Conservative,,
,,,8/24/2023,24,New York,Jerusalem,Physician Assistant,Male,Married,,,,Orthodox,,
,,,8/24/2023,64,Ontario,Jerusalem,Human Resources/Recruitment,Female,Married,Oleh,5/2/2023,AC80,Modern Orthodox,,
,,,8/24/2023,68,Ontario,Jerusalem,Management Consultant,Male,Married,Oleh,5/2/2023,AC80,Modern Orthodox,,
,,,8/24/2023,43,Indiana,Rehovot,Real Estate,Male,Married,Oleh,5/29/2022,LY28,Conservative,Diploma/GED,
,,,8/24/2023,42,Indiana,Rehovot,Homemaker,Female,Married,Oleh,5/29/2022,LY28,Conservative,,
,,,8/24/2023,18,Indiana,Rehovot,,Male,Child,Oleh,5/29/2022,LY28,Conservative,,
,,,8/24/2023,17,Indiana,Rehovot,,Male,Child,Oleh,5/29/2022,LY28,Conservative,,
,,,8/24/2023,15,Indiana,Rehovot,,Female,Child,Oleh,5/29/2022,LY28,Conservative,,
,,,8/24/2023,14,Indiana,Rehovot,,Male,Child,Oleh,5/29/2022,LY28,Conservative,,
,,,8/24/2023,7,Indiana,Rehovot,,Male,Child,Oleh,5/29/2022,LY28,Conservative,,
,,,8/24/2023,12,Indiana,Rehovot,,Female,Child,Oleh,5/29/2022,LY28,Conservative,,
,,,8/24/2023,10,Indiana,Rehovot,,Male,Child,Oleh,5/29/2022,LY28,Conservative,,
,,,8/24/2023,10,New Jersey,Modi'in-Maccabim-Re'ut,,Male,Child,Oleh,4/25/2023,LY28,Modern Orthodox,,
,,,8/24/2023,48,New Jersey,Modi'in-Maccabim-Re'ut,Real Estate,Female,Married,Ezrach Oleh,4/25/2023,LY28,Modern Orthodox,,
,,,8/24/2023,15,New Jersey,Modi'in-Maccabim-Re'ut,,Male,Child,Oleh,4/25/2023,LY28,Modern Orthodox,,
,,,8/24/2023,49,New Jersey,Modi'in-Maccabim-Re'ut,Digital Marketing,Male,Married,Ezrach Oleh,4/25/2023,LY28,Modern Orthodox,,
,,,8/24/2023,12,California,Modi'in-Maccabim-Re'ut,,Female,Child,Ezrah Yelid Hul (katin/minor),3/20/2023,LY06,Orthodox,,
,,,8/24/2023,11,California,Modi'in-Maccabim-Re'ut,,Female,Child,Ezrah Yelid Hul (katin/minor),3/20/2023,LY06,Orthodox,,
,,,8/24/2023,38,California,Modi'in-Maccabim-Re'ut,Nurse,Female,Married,Oleh,3/20/2023,LY06,Orthodox,Bachelors Degree,
,,,8/24/2023,11,California,Modi'in-Maccabim-Re'ut,,Female,Child,Ezrah Yelid Hul (katin/minor),3/20/2023,LY06,Orthodox,,
,,,8/24/2023,8,California,Modi'in-Maccabim-Re'ut,,Female,Child,Ezrah Yelid Hul (katin/minor),3/20/2023,LY06,Orthodox,,
,,,8/24/2023,5,California,Modi'in-Maccabim-Re'ut,,Male,Child,Ezrah Yelid Hul (katin/minor),3/20/2023,LY06,Orthodox,,
,,,8/24/2023,38,California,Modi'in-Maccabim-Re'ut,Education - Elementary,Male,Married,Katin Chozer,3/20/2023,LY06,Orthodox,,
,,,8/24/2023,24,California,Tel Aviv-Yafo,Student,Male,Single,Oleh,5/23/2023,LY06,Reform,,
,,,8/24/2023,15,New Jersey,Jerusalem,,Female,Child,Oleh,7/5/2023,LY28,Orthodox,,
,,,8/24/2023,63,New Jersey,Jerusalem,Education - Elementary,Female,Married,Oleh,7/5/2023,LY28,Orthodox,,
,,,8/24/2023,63,New Jersey,Jerusalem,Lawyer,Male,Married,Oleh,7/5/2023,LY28,Orthodox,,
,,,8/24/2023,24,Pennsylvania,Be'er Sheva,Student,Male,Single,Oleh,8/11/2023,LY26,Reform,,
,,,8/24/2023,47,New York,Bet Shemesh,Physician,Male,Married,Katin Chozer,8/8/2023,LY04,Non-Affiliated,,
,,,8/24/2023,16,New York,Bet Shemesh,,Male,Child,Ezrah Yelid Hul (katin/minor),8/8/2023,LY04,Non-Affiliated,,
,,,8/24/2023,15,New York,Bet Shemesh,,Female,Child,Ezrah Yelid Hul (katin/minor),8/8/2023,LY04,Non-Affiliated,,
,,,8/24/2023,9,New York,Bet Shemesh,,Female,Child,Ezrah Yelid Hul (katin/minor),8/8/2023,LY04,Non-Affiliated,,
,,,8/24/2023,5,New York,Bet Shemesh,,Female,Child,Ezrah Yelid Hul (katin/minor),8/8/2023,LY04,Non-Affiliated,,
,,,8/24/2023,22,California,Giv'at Shmuel,Student,Female,Single,Ezrach Oleh,7/11/2023,LY06,Modern Orthodox,,
,,,8/24/2023,34,New Jersey,Bet Shemesh,Education - Elementary,Female,Married,Oleh,5/2/2023,LY28,Orthodox,Masters Degree,
,,,8/24/2023,33,New Jersey,Bet Shemesh,Psychologist,Male,Married,Oleh,5/2/2023,LY28,Orthodox,Masters Degree,
,,,8/24/2023,4,New Jersey,Bet Shemesh,,Male,Child,Oleh,5/2/2023,LY28,Orthodox,,
,,,8/24/2023,2,New Jersey,Bet Shemesh,,Female,Child,Oleh,5/2/2023,LY28,Orthodox,,
,,,8/24/2023,1,New Jersey,Bet Shemesh,,Female,Child,Oleh,5/2/2023,LY28,Orthodox,,
,,,8/24/2023,42,Illinois,Rishon LeTsiyon,Engineer - Aerospace,Male,Married,Oleh,2/22/2023,LY28,Other,Other,
,,,8/24/2023,43,Illinois,Rishon LeTsiyon,Finance - Investment,Female,Married,Oleh,2/22/2023,LY28,Other,,
,,,8/24/2023,19,Maryland,Kibbutz Ein Tzurim,Unemployed,Female,Single,Oleh,6/13/2023,LY04,Modern Orthodox,Diploma/GED,
,,,8/24/2023,31,,Bet Shemesh,,Male,Married,,,,Orthodox,,
,,,8/24/2023,19,New York,Kibbutz Ein Tzurim,Student,Male,Single,Oleh,7/16/2023,LY04,Modern Orthodox,,
,,,8/24/2023,19,NJ,Alon Shvut,Student,Male,Single,Ezrach Oleh,7/24/2023,LY28,Modern Orthodox,Diploma/GED,
,,,8/24/2023,32,,Ben Shemen Youth Village,Education - English,Female,Single,Oleh,7/24/2023,LY04,Modern Orthodox,,
,,,8/24/2023,18,California,Tsor'a,Student,Female,Single,Ezrach Oleh,3/19/2023,LY06,Conservative,,
,,,8/24/2023,19,Massachusetts,Kibbutz Sasa,Driver,Male,Single,Ezrach Oleh,8/21/2023,LY28,Modern Orthodox,,
,,,8/24/2023,16,California,Jerusalem,,Male,Child,Ezrah Yelid Hul (katin/minor),7/5/2023,LY06,Modern Orthodox,,
,,,8/24/2023,13,California,Jerusalem,,Male,Child,Ezrah Yelid Hul (katin/minor),7/5/2023,LY06,Modern Orthodox,,
,,,8/24/2023,9,California,Jerusalem,,Female,Child,Ezrah Yelid Hul (katin/minor),7/5/2023,LY06,Modern Orthodox,,
,,,8/24/2023,46,California,Jerusalem,Non Profit,Female,Married,Oleh,7/5/2023,LY06,Modern Orthodox,,
,,,8/24/2023,19,,Gan Yavneh,,Male,Single,,,,Modern Orthodox,,
,,,8/27/2023,23,Florida,Tel Aviv-Yafo,Student,Female,Single,,,,Liberal,,
,,,8/27/2023,27,Pennsylvania,Kiryat Motzkin,Other,Male,Single,Ezrach Oleh,7/27/2023,UA84,Non-Affiliated,Other,
,,,8/28/2023,21,British Columbia,Jerusalem,Other,Female,Single,Ezrach Oleh,7/26/2023,LX8011/LX252,Orthodox,Bachelors Degree,
,,,8/28/2023,72,Massachusetts,Jerusalem,Management,Male,Married,Oleh,5/24/2023,LY16,Orthodox,,
,,,8/28/2023,71,Massachusetts,Jerusalem,Education Administration,Female,Married,Oleh,5/24/2023,LY16,Orthodox,Bachelors Degree,
,,,8/28/2023,25,New Jersey,Jerusalem,Student,Female,Single,Oleh,7/20/2023,LY16,Orthodox,Diploma/GED,
,,,8/28/2023,20,New York,,Student,Male,Single,,,,Modern Orthodox,Diploma/GED,
,,,8/29/2023,2,Ohio,Binyamina,,Female,Child,Oleh,5/25/2023,LY28,Modern Orthodox,,
,,,8/29/2023,38,Ohio,Binyamina,Physician,Female,Married,Oleh,5/25/2023,LY28,Modern Orthodox,Bachelors Degree,
,,,8/29/2023,10,Ohio,Binyamina,,Female,Child,Oleh,5/25/2023,LY28,Modern Orthodox,,
,,,8/29/2023,43,Ohio,Binyamina,Physician,Male,Married,Oleh,5/25/2023,LY28,Modern Orthodox,Bachelors Degree,
,,,8/29/2023,8,Ohio,Binyamina,,Male,Child,Oleh,5/25/2023,LY28,Modern Orthodox,,
,,,8/29/2023,6,Ohio,Binyamina,,Male,Child,Oleh,5/25/2023,LY28,Modern Orthodox,,
,,,8/29/2023,73,New Jersey,Netanya,Education - Jewish,Female,Married,Oleh,5/14/2023,LY28,Modern Orthodox,Bachelors Degree,
,,,8/29/2023,74,New Jersey,Netanya,,Male,Married,Oleh,5/14/2023,LY28,Modern Orthodox,Masters Degree,
,,,8/29/2023,2,Pennsylvania,Giv'atayim,,Male,Child,,5/14/2023,LY28,Reform,,
,,,8/29/2023,34,Pennsylvania,Giv'atayim,Physician,Female,Married,Oleh,5/14/2023,LY28,Reform,,
,,,8/29/2023,76,Illinois,Jerusalem,Accountant CPA,Male,Married,Oleh,7/18/2023,LY28,Orthodox,Other,
,,,8/29/2023,73,Illinois,Jerusalem,Sales,Female,Married,Oleh,7/18/2023,LY28,Orthodox,,
,,,8/29/2023,69,New York,Giv'at Ze'ev,Retirement,Male,Married,Oleh,7/13/2023,LY28,Orthodox,Diploma/GED,
,,,8/29/2023,65,New York,Giv'at Ze'ev,Education - Elementary,Female,Married,Oleh,7/13/2023,LY28,Orthodox,Diploma/GED,
,,,8/29/2023,72,New York,Jerusalem,Management,Male,Married,Oleh,6/17/2022,LY28,Frum,Other,
,,,8/29/2023,67,New York,Jerusalem,Education - Special,Female,Married,Oleh,6/17/2022,LY28,Frum,Associates Degree,
,,,8/29/2023,19,Massachusetts,Netivot,Student,Male,Single,Ezrach Oleh,6/22/2023,LY28,Orthodox,Other,
,,,8/29/2023,35,New York,Bet Shemesh,Nurse,Female,Married,Oleh,8/10/2023,LY28,Modern Orthodox,Bachelors Degree,
,,,8/29/2023,37,New York,Bet Shemesh,Education - Jewish,Male,Married,Oleh,8/10/2023,LY28,Modern Orthodox,,
,,,8/29/2023,13,New York,Bet Shemesh,,Female,Child,Oleh,8/10/2023,LY28,Modern Orthodox,,
,,,8/29/2023,11,New York,Bet Shemesh,,Female,Child,Oleh,8/10/2023,LY28,Modern Orthodox,,
,,,8/29/2023,8,New York,Bet Shemesh,,Female,Child,Oleh,8/10/2023,LY28,Modern Orthodox,,
,,,8/29/2023,6,New York,Bet Shemesh,,Male,Child,Oleh,8/10/2023,LY28,Modern Orthodox,,
,,,8/29/2023,54,Ontario,Jerusalem,Finance - Investment,Male,Married,Oleh,5/4/2023,AC80,Orthodox,,
,,,8/29/2023,52,Ontario,Jerusalem,Education - Early Childhood,Female,Married,Oleh,5/4/2023,AC80,Orthodox,,
,,,8/29/2023,46,Ontario,Modiin,Physician,Male,Married,Ezrach Oleh,5/8/2023,LY28,Modern Orthodox,Bachelors Degree,
,,,8/29/2023,46,Ontario,Modiin,Education - High School,Female,Married,Oleh,5/8/2023,LY28,Modern Orthodox,Bachelors Degree,
,,,8/29/2023,17,Ontario,Modiin,,Male,Child,Oleh,5/8/2023,LY28,Modern Orthodox,,
,,,8/29/2023,14,Ontario,Modiin,,Male,Child,Oleh,5/8/2023,LY28,Modern Orthodox,,
,,,8/29/2023,13,Ontario,Modiin,,Male,Child,Oleh,5/8/2023,LY28,Modern Orthodox,,
,,,8/29/2023,34,New York,Tel Aviv-Yafo,Project Manager,Male,Single,Oleh,5/8/2023,LY28,Modern Orthodox,,
,,,8/29/2023,83,New York,Modi'in Ilit,Entrepreneur,Female,Widowed,Oleh,7/31/2023,LY28,Frum,,
,,,8/29/2023,22,New York,,Student,Female,Single,Oleh,7/11/2023,LY28,Modern Orthodox,,
,,,8/29/2023,35,New York,Rosh Haayin,Business,Male,Single,Ezrach Oleh,5/31/2023,LY28,Other,Bachelors Degree,
,,,8/29/2023,76,Ontario,Modi'in-Maccabim-Re'ut,Retirement,Male,Married,Oleh,3/29/2023,LY28,Orthodox,,
,,,8/29/2023,72,Ontario,Modi'in-Maccabim-Re'ut,Retirement,Female,Married,Oleh,3/29/2023,LY28,Orthodox,,
,,,8/29/2023,29,Pennsylvania,Bet Shemesh,Engineer - Mechanical,Female,Single,Oleh,5/14/2023,LY28,Orthodox,Masters Degree,
,,,8/29/2023,39,New Jersey,Jerusalem,Social Work,Female,Single,,,,Modern Orthodox,Masters Degree,
,,,8/29/2023,46,Colorado,Ra'anana,Physician,Female,Married,Oleh,3/19/2023,LY28,Modern Orthodox,MD,
,,,8/29/2023,44,Colorado,Ra'anana,Entrepreneur,Male,Married,Oleh,3/19/2023,LY28,Modern Orthodox,,
,,,8/29/2023,15,Colorado,Ra'anana,,Male,Child,Oleh,3/19/2023,LY28,Modern Orthodox,,
,,,8/29/2023,11,Colorado,Ra'anana,,Male,Child,Oleh,3/19/2023,LY28,Modern Orthodox,,
,,,8/29/2023,9,Colorado,Ra'anana,,Female,Child,Oleh,3/19/2023,LY28,Modern Orthodox,,
,,,8/29/2023,73,Illinois,Jerusalem,Academia,Male,Married,Oleh,4/25/2023,LY28,Modern Orthodox,Phd,
,,,8/29/2023,70,Illinois,Jerusalem,Nurse,Female,Married,Oleh,4/25/2023,LY28,Modern Orthodox,,
,,,8/29/2023,19,Michigan,Jerusalem,Unemployed,Female,Single,Oleh,7/11/2023,LY28,Orthodox,,
,,,8/29/2023,41,Quebec,Herzliya,Business,Male,Single,,,,Orthodox,,
,,,8/29/2023,52,New Jersey,Ra'anana,Education - Early Childhood,Female,Married,Oleh,5/14/2023,LY28,Modern Orthodox,Masters Degree,
